기간,연령별,계,1종,1종,1종,1종,1종,2종,2종,2종,2종
기간,연령별,계,소계, 대형,보통,소형,특수,소계,보통,소형,원동기
2020,합계,"7,864,542","3,638,482","261,110","3,333,383",97,"43,892","4,226,060","3,880,597","111,758","233,705"
2020,16-19세,"35,984","12,138",53,"12,077",-,8,"23,846","19,406",301,"4,139"
2020,20-24세,"350,807","118,366","6,361","111,341",-,664,"232,441","216,256","3,101","13,084"
2020,25-29세,"695,244","281,260","17,255","261,896",-,"2,109","413,984","378,321","9,539","26,124"
2020,30-34세,"709,338","326,369","17,340","306,679",-,"2,350","382,969","346,770","12,612","23,587"
2020,35-39세,"771,581","404,288","20,157","380,741",-,"3,390","367,293","326,020","17,976","23,297"
2020,40-44세,"807,560","408,761","22,961","381,009",-,"4,791","398,799","357,252","19,009","22,538"
2020,45-49세,"967,588","447,897","28,287","413,624",-,"5,986","519,691","481,449","16,728","21,514"
2020,50-54세,"927,649","440,357","33,336","400,121",-,"6,900","487,292","457,788","12,981","16,523"
2020,55-59세,"838,453","397,698","34,569","357,189",-,"5,940","440,755","412,528","8,646","19,581"
2020,60-64세,"758,855","358,797","33,521","320,360",-,"4,916","400,058","372,716","5,656","21,686"
2020,65-69세,"499,411","232,939","23,681","206,037",3,"3,218","266,472","245,952","2,906","17,614"
2020,70-74세,"287,212","128,004","13,553","112,461",29,"1,961","159,208","145,231","1,358","12,619"
2020,75-79세,"142,789","59,193","7,138","50,860",33,"1,162","83,596","75,653",621,"7,322"
2020,80세이상,"72,071","22,415","2,898","18,988",32,497,"49,656","45,255",324,"4,077"
