"","comic.name","comic.summary","comic.grade"
"1","조폭소녀","개그 스릴러","9.59"
"2","학교가는 고등어","요즘애들이란 이상해","9.84"
"3","낮잠 자는 사람들","창작인밀착일상툰","9.91"
"4","궁궐의 맛","궁궐의 맛","9.76"
"5","김작가의 오춘기 그림일기","오춘기를 앓고있어요","9.85"
"6","좀비다이어리","격리구역 탈출기","9.88"
"7","오늘의 후기","매일 살아가는 후기","9.78"
"8","베텔게우스","별과 시간과 사람","9.61"
"9","소란 씨스터즈","가족 일상 웹툰","9.68"
"10","핫캣일기","느긋한 열정 고양이","9.81"
"11","가수마왕","노래 부르는 마왕","9.34"
"12","슬기로운 재수생활","재수생활 염탐하기","9.78"
"13","세상은 그대를 중심으로","운명의 중심 호인","9.53"
"14","악마법소녀","마법과 내뱉은 말","9.92"
"15","바프일기","바디프로필 도전일지","9.76"
"16","지극히 평범한 생활","!! 일상툰 !!","9.91"
"17","망탁","호러 액션 느와르","9.50"
"18","말의 씨앗을 보는 아이","말이 씨가 된다.","9.74"
"19","나랑, 아니면","시아와 하루이야기","8.48"
"20","드라코 하트 (Drache Heart)","몬스터 레벨업스토리","9.15"
"21","김치걸 x 밀크티보이","한국여자+홍콩남자","9.87"
"22","눈사람사람","사람이 되고 싶어?","9.26"
"23","아빠는 N살","아빠 4컷 그림일기","9.91"
"24","산군대잔치","강아지 산군의 일상","9.86"
"25","미필은 노하이","대한군필 만세!!","9.85"
"26","태풍의 빈티지샵","깡패 잡는 사장님","9.69"
"27","지킬 앤 킬","지켜야 할 애인을","8.00"
"28","팬 건 네가 처음","여우와 소년의 격돌","9.00"
"29","블루랜드","색을 잃고 살아남다","9.90"
"30","그들이 사는 세상","과고에서 1등하기","8.52"
"31","졸렬☆다이나믹","다이나믹 초딩들","9.92"
"32","노른자들","늘 혼자들의 이야기","9.86"
"33","500원 토끼","500원토끼의 일상","9.73"
"34","식봉툰","일상적인 이야기","8.81"
"35","오늘부터 G.A.B님과 함께 살게 되었습니다","이 보안만화,웃기다","8.25"
"36","내일은 낯선 행성을 걷는다","밤 9시의 산책","9.83"
"37","오디네리 피플","우리집, 당신집, 누군가의 집. 그저 평범한 가족이야기!","9.41"
"38","원인탐구생활","일상, 고양이","9.89"
"39","THE","자신을 찾을 이야기","9.50"
"40","너구리네 육아일기","육아일기","9.77"
"41","어둠의 일상툰","어둠의 일상","9.69"
"42","너만 바라 봄","캠퍼스 로맨스","9.49"
"43","나를 위한 봄","일상학원로맨스","8.55"
"44","로맨스 판타지 아닙니다","로판 아니고 판스","9.55"
"45","로로의 일본생활 다이어리","일본 먹부림 일기","9.82"
"46","여신님의 키링남은 불로불사!?","동양 판타지 청춘물","9.60"
"47","찌복툰","작가의 코믹 일상","9.62"
"48","유산은 처음이라","또 유산입니다","9.67"
"49","안녕오존","오존의 일상개그툰!","9.92"
"50","자라나라 모리모리","털이 없는 모리의삶","9.85"
"51","기후위기인간","지구와나의 연결고리","9.88"
"52","가족입니다.","가족 이야기","9.01"
"53","백일고 상상클럽","우리들의 상상이야기","9.87"
"54","마루하루","11살 강아지 마루","9.81"
"55","방구석수필","실화 단편 에피소드","9.93"
"56","이프위","불과 물의 연애","9.85"
"57","살귀","살인귀들","9.24"
"58","소환진이 좀 이상해 보이는 건 기분 탓이겠지","판타지!","9.93"
"59","이상낙원","마법 학원 판타지","9.89"
"60","집에서 뒹굴뒹굴","집에서 애둘 키우기","9.86"
"61","버츄얼 이온","버튜버가 된 소녀","7.49"
"62","고고고","집사가 되어라!!!","9.91"
"63","오늘의 난","오늘의 난, 난그림","9.56"
"64","채채쓰의 웃픈일기","왜 삶은 웃플까요?","9.83"
"65","꼬밍 베이커리","소원의 빵, 꼬밍","9.74"
"66","집순이에 대하여","집순이들의 일상","9.80"
"67","과학고 생존일지","과학고에 간 문과생","9.83"
"68","푸들가족","날리부루스윌리스","9.02"
"69","파운드캣","식빵을 닮은 고양이","9.89"
"70","퀸비","SF,액션,서바이벌","8.56"
"71","일상견문록","여러나라 일상이야기","9.88"
"72","꿀꾸리? 꿈꾸리!","중학생 꾸리일기-","8.74"
"73","Baby Boy Brother","연하남연애시뮬레이션","9.75"
"74","나는 오늘, 퇴사를 하였다.","퇴사, 이후 이야기","9.68"
"75","종말 본능","종말 속 괴물 소년","9.60"
"76","게으른 고양이의 soso한 카페이야기","카페운영일상툰","9.84"
"77","고막남친","순정코믹 학원성장물","9.30"
"78","딴 짓이 제일 재밌어","딴 짓 찾아 놀기","9.75"
"79","소녀순백","순수하지 않은 소녀","9.44"
"80","백설공주와 마녀의 계약","그 결혼 반댈세","9.47"
"81","예수쟁이 다이어리","예수쟁이의 일상","9.32"
"82","자작 보드게임 동아리","자작 보드게임 만화","9.77"
"83","하프타임 바운스","인생의 절반으로","9.15"
"84","카르엘","인어와 칼과 흉터","8.29"
"85","홈 스윗 홈","네식구 사는 이야기","9.86"
"86","누나미워!","누나와 동생의 일상","9.91"
"87","제목이 7080 만화","7080 이야기","9.89"
"88","본격 북유럽 신화 만화","신화 설명하는 만화","9.93"
"89","어느날 보청기","보청기 이야기","9.89"
"90","서울 아포칼립스","좀비아포칼립스 만화","9.69"
"91","날림생활기","날아간 일상을 기록","9.78"
