"","newscategory","newstitle"
"1","사회","용인시, 7월부터 2개월간 지능형교통체계 안전 점검"
"2","사회","광주교육청 부교육감, 1년마다 관사 매트리스·주방용품 교체"
"3","국제","中 우크라 사태로 에너지 위기 고조되자 원전 2배 늘려"
"4","국제","주미 中대사관 ""미중 우크라 사태 관련 협력할 수 있어"""
"5","경제","송유관 잠근 러시아, 보복 시작됐나?..'공포'에 뛰는 정유주"
"6","정치","""文 임기말 측근 챙기려 공공기관 59명 알박기 인사"""
"7","사회","학교폭력 2차 가해 막는다..가해학생에 사이버공간 '접촉금지'"
"8","국제","최악 경제난에 인도로 탈출 시작한 스리랑카 주민"
"9","정치","""새로운 바람 불어넣을 것""..한완수 전북도의원, 임실군수 출마"
"10","경제","소니·혼다 전기차 연합의 궁금증 셋, 시사점 하나 [최원석의 디코드]"
"11","경제","전세대출 문턱 낮추는 은행권..카뱅·신한은행도 대출 금리 인하"
"12","정치","출발부터 ""선심성 공약"" 한계 노출..GTX 인수위 내부서도 회의적 시각 [부동산360]"
"13","경제","마래푸·은마 2주택자 보유세 1억..양도세 중과 공약 기다리는 다주택자 [부동산360]"
"14","국제","탱크 몰고 지휘관에 돌진..러시아군 사기 곤두박질(영상)"
"15","국제","나토 다국적 전투집단, 불가리아 등 4개국 주둔..러 침공 대비"
"16","정치","尹, 사법공약 반대에 초강수..인수위 '분노'로 정부 군기잡기"
"17","정치","하루하루 다가오는 '태양절'.. 경축 준비[데일리 북한]"
"18","경제","탈원전보다 탈정치화, 친환경 전력수급원으로 접근해야[무너진 원전생태계]④"
"19","사회","이달 제주 확진자 10만명 돌파..""주말께부터 정점"""
"20","사회","사모펀드피해자모임 ""기업은행·신한금융, 피해구제·책임규명 나서라"""
