"","title","point","review"
"1","부탁 하나만 들어줘","6","블레이크 라이블리 얼굴만 재밌어요"
"2","부라더","10","잼있음ㅋㅋㅋ 마브리땜에 몇번봄"
"3","친구","10","많은 명대사와 장면이 지금도 잊혀지지 않는 영화"
"4","비열한 거리","10","조폭영화 중에 친구 다음으로 좋아하는 영화"
"5","블랙 크랩","10","주인공 마음 이해간다..결국 원래 세상이 멸망해도 자식은 구하고 싶은게 부모의 맘이다."
"6","매미소리","10","'오늘 하루 영화 잘 봤다.'로 끝나는 영화가 있고, 그 여운이 길게 남아 계속 맴돌고 다시 찾아보게 되는 영화가 있다. 영화 <매미소리>는 후자다. 진한 울림이 있는 영화다."
"7","뜨거운 피","10","제 기준에는볼만합니다 다른분들은모르지만전재밌었음ㅎ"
"8","뜨거운 피","10","아니 건달들이 이렇게 명대사를 날려도 되는거임? 찐 건달 이야깁니다. 정우배우 별로였는데~ 연기 좋네요!"
"9","뜨거운 피","10","생각보다 볼만합니다."
"10","태풍이 지나가고","8","고레에다 히로카즈 영화는 자극이 난무하는 이 세상에 한 줄기 빛 같은 존재."
