"발생일","발생시간","요일","발생지_시군구","사고내용","법정동","사망자수","중상자수","경상자수","부상신고자수","사고유형_대분류","사고유형_중분류","사고유형","가해자법규위반","노면상태_대분류","노면상태","기상상태","도로형태_대분류","도로형태","가해자차종","가해자연령","가해자성별","가해자신체상해정도","피해자차종","피해자연령","피해자성별","피해자신체상해정도","경도","위도"
"2012-01-01","01","일","은평구","사망","불광동","1","0","0","0","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","21-30세","남","상해없음","보행자","65세이상","남","사망","126.93187672","37.61284962"
"2012-01-01","02","일","중구","사망","입정동","1","0","3","0","차대차","측면충돌","측면충돌","신호위반","비포장","건조","맑음","교차로","교차로내","승합차","51-60세","남","상해없음","승용차","51-60세","남","경상","126.99234479","37.56818425"
"2012-01-01","02","일","서초구","사망","양재동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로부근","승용차","61-70세","남","상해없음","보행자","51-60세","남","사망","127.03484660","37.48369509"
"2012-01-01","18","일","영등포구","사망","영등포동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","흐림","단일로","기타단일로","승합차","41-50세","남","상해없음","보행자","65세이상","남","사망","126.90348592","37.52015053"
"2012-01-03","07","화","관악구","사망","봉천동","1","0","1","0","차대차","기타","기타","안전거리 미확보","포장","건조","맑음","단일로","기타단일로","승용차","41-50세","남","상해없음","이륜차","13-20세","남","사망","126.93730921","37.46454058"
"2012-01-03","19","화","도봉구","사망","방학동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","젖음/습기","흐림","단일로","기타단일로","화물차","41-50세","남","상해없음","보행자","65세이상","남","사망","127.03458713","37.66191758"
"2012-01-04","05","수","강남구","사망","도곡동","1","0","0","0","차대사람","기타","기타","신호위반","포장","건조","맑음","단일로","기타단일로","승용차","61-70세","남","상해없음","보행자","61-64세","남","사망","127.05242269","37.48956775"
"2012-01-06","01","금","종로구","사망","숭인동","1","0","0","0","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","61-70세","남","상해없음","보행자","65세이상","남","사망","127.01723415","37.57346239"
"2012-01-07","09","토","동작구","사망","신대방동","1","2","0","0","차대차","추돌","진행중 추돌","안전운전 의무 불이행","포장","기타","맑음","단일로","횡단보도상","승용차","61-70세","남","상해없음","승용차","41-50세","남","중상","126.90622325","37.48887835"
"2012-01-07","23","일","강남구","사망","대치동","1","0","0","0","차대차","측면충돌","측면충돌","신호위반","포장","건조","맑음","교차로","교차로내","자전거","61-70세","여","사망","승용차","41-50세","남","상해없음","127.05085267","37.50051332"
"2012-01-11","20","수","송파구","사망","문정동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도상","승합차","41-50세","남","상해없음","보행자","65세이상","남","사망","127.12215257","37.48658446"
"2012-01-11","21","수","중랑구","사망","망우동","1","0","0","0","차대사람","횡단중","횡단중","신호위반","포장","건조","맑음","교차로","교차로부근","승용차","61-70세","남","상해없음","보행자","65세이상","여","사망","127.09320030","37.59818414"
"2012-01-12","04","목","관악구","사망","봉천동","1","0","0","0","차대사람","횡단중","횡단중","과속","포장","건조","맑음","단일로","횡단보도상","승용차","61-70세","남","상해없음","보행자","51-60세","남","사망","126.94352222","37.48218256"
"2012-01-13","16","화","강서구","사망","외발산동","1","0","0","0","차량단독","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","이륜차","51-60세","남","사망","없음","불명","없음","없음","126.82199465","37.54415531"
"2012-01-14","18","토","중구","사망","묵정동","1","0","0","0","차대사람","기타","기타","신호위반","포장","건조","맑음","교차로","교차로부근","화물차","51-60세","남","상해없음","보행자","65세이상","남","사망","126.99862395","37.56224416"
"2012-01-15","00","일","마포구","사망","서교동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도부근","승합차","51-60세","남","상해없음","보행자","13-20세","남","사망","126.91969020","37.55384256"
"2012-01-15","03","일","구로구","사망","신도림동","1","1","0","0","차대차","측면충돌","측면충돌","과속","포장","건조","맑음","단일로","기타단일로","승용차","41-50세","남","상해없음","승용차","21-30세","남","중상","126.88126985","37.51491656"
"2012-01-15","06","일","강동구","사망","상일동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도부근","승용차","41-50세","남","상해없음","보행자","61-64세","남","사망","127.17413691","37.54710338"
